OVERS,MDNS,RUNS,WKTS,ECON,AVE,SR,OPPOSITION,GROUND,`START_DATE`,MATCH_ID,BOWLER,PLAYER_ID
10,0,34,1,3.4,34,60,v Bangladesh,Providence,25-Jul-18,ODI # 4023,Ashley Nurse,315594
10,1,53,2,5.3,26.5,30,v Bangladesh,Basseterre,28-Jul-18,ODI # 4024,Ashley Nurse,315594
7,0,63,0,9,-,-,v India,Guwahati,21-Oct-18,ODI # 4056,Ashley Nurse,315594
10,0,46,2,4.6,23,30,v India,Visakhapatnam,24-Oct-18,ODI # 4059,Ashley Nurse,315594
10,0,43,2,4.3,21.5,30,v India,Pune,27-Oct-18,ODI # 4062,Ashley Nurse,315594
8,0,57,1,7.12,57,48,v India,Mumbai (BS),29-Oct-18,ODI # 4063,Ashley Nurse,315594
10,0,69,0,6.9,-,-,v England,Bridgetown,20-Feb-19,ODI # 4096,Ashley Nurse,315594
6,0,28,0,4.66,-,-,v England,Bridgetown,22-Feb-19,ODI # 4097,Ashley Nurse,315594
-,-,-,-,-,-,-,v England,St George's,25-Feb-19,ODI # 4098,Ashley Nurse,315594
10,0,68,1,6.8,68,60,v England,St George's,27-Feb-19,ODI # 4099,Ashley Nurse,315594
4,0,24,0,6,-,-,v England,Gros Islet,02-Mar-19,ODI # 4103,Ashley Nurse,315594
7.4,0,51,4,6.65,12.75,11.5,v Ireland,Dublin,05-May-19,ODI # 4128,Ashley Nurse,315594
7,0,46,0,6.57,-,-,v Bangladesh,Dublin,07-May-19,ODI # 4129,Ashley Nurse,315594
4,0,37,0,9.25,-,-,v Ireland,Dublin (Malahide),11-May-19,ODI # 4132,Ashley Nurse,315594
10,0,53,3,5.3,17.66,20,v Bangladesh,Dublin (Malahide),13-May-19,ODI # 4134,Ashley Nurse,315594
3,0,35,0,11.66,-,-,v Bangladesh,Dublin (Malahide),17-May-19,ODI # 4137,Ashley Nurse,315594
-,-,-,-,-,-,-,v Pakistan,Abu Dhabi,05-Oct-16,ODI # 3789,Evin Lewis,431901
-,-,-,-,-,-,-,v Sri Lanka,Harare,16-Nov-16,ODI # 3805,Evin Lewis,431901
-,-,-,-,-,-,-,v Zimbabwe,Bulawayo,19-Nov-16,ODI # 3806,Evin Lewis,431901
-,-,-,-,-,-,-,v Sri Lanka,Bulawayo,23-Nov-16,ODI # 3808,Evin Lewis,431901
-,-,-,-,-,-,-,v Zimbabwe,Bulawayo,25-Nov-16,ODI # 3809,Evin Lewis,431901
-,-,-,-,-,-,-,v England,North Sound,03-Mar-17,ODI # 3845,Evin Lewis,431901
-,-,-,-,-,-,-,v England,North Sound,05-Mar-17,ODI # 3848,Evin Lewis,431901
-,-,-,-,-,-,-,v England,Bridgetown,09-Mar-17,ODI # 3849,Evin Lewis,431901
-,-,-,-,-,-,-,v Pakistan,Providence,07-Apr-17,ODI # 3861,Evin Lewis,431901
-,-,-,-,-,-,-,v Pakistan,Providence,09-Apr-17,ODI # 3862,Evin Lewis,431901
-,-,-,-,-,-,-,v Pakistan,Providence,11-Apr-17,ODI # 3863,Evin Lewis,431901
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,09-Jun-17,ODI # 3884,Evin Lewis,431901
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,11-Jun-17,ODI # 3887,Evin Lewis,431901
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,14-Jun-17,ODI # 3890,Evin Lewis,431901
-,-,-,-,-,-,-,v India,Port of Spain,23-Jun-17,ODI # 3895,Evin Lewis,431901
-,-,-,-,-,-,-,v India,Port of Spain,25-Jun-17,ODI # 3896,Evin Lewis,431901
-,-,-,-,-,-,-,v India,North Sound,30-Jun-17,ODI # 3898,Evin Lewis,431901
-,-,-,-,-,-,-,v India,North Sound,02-Jul-17,ODI # 3900,Evin Lewis,431901
-,-,-,-,-,-,-,v India,Kingston,06-Jul-17,ODI # 3902,Evin Lewis,431901
-,-,-,-,-,-,-,v England,Manchester,19-Sep-17,ODI # 3911,Evin Lewis,431901
-,-,-,-,-,-,-,v England,Nottingham,21-Sep-17,ODI # 3913,Evin Lewis,431901
-,-,-,-,-,-,-,v England,Bristol,24-Sep-17,ODI # 3915,Evin Lewis,431901
-,-,-,-,-,-,-,v England,The Oval,27-Sep-17,ODI # 3916,Evin Lewis,431901
-,-,-,-,-,-,-,v New Zealand,Whangarei,20-Dec-17,ODI # 3943,Evin Lewis,431901
-,-,-,-,-,-,-,v New Zealand,Christchurch,23-Dec-17,ODI # 3944,Evin Lewis,431901
-,-,-,-,-,-,-,v U.A.E.,Harare,06-Mar-18,ODI # 3987,Evin Lewis,431901
-,-,-,-,-,-,-,v P.N.G.,Harare,08-Mar-18,ODI # 3991,Evin Lewis,431901
-,-,-,-,-,-,-,v Ireland,Harare,10-Mar-18,ODI # 3993,Evin Lewis,431901
-,-,-,-,-,-,-,v Afghanistan,Harare,15-Mar-18,ODI # 3997,Evin Lewis,431901
-,-,-,-,-,-,-,v Zimbabwe,Harare,19-Mar-18,ODI # 4002,Evin Lewis,431901
-,-,-,-,-,-,-,v Scotland,Harare,21-Mar-18,ODI # 4004,Evin Lewis,431901
-,-,-,-,-,-,-,v Afghanistan,Harare,25-Mar-18,ODI # 4007,Evin Lewis,431901
-,-,-,-,-,-,-,v Bangladesh,Providence,22-Jul-18,ODI # 4022,Evin Lewis,431901
-,-,-,-,-,-,-,v Bangladesh,Providence,25-Jul-18,ODI # 4023,Evin Lewis,431901
-,-,-,-,-,-,-,v Bangladesh,Basseterre,28-Jul-18,ODI # 4024,Evin Lewis,431901
-,-,-,-,-,-,-,v Sri Lanka,Harare,16-Nov-16,ODI # 3805,Shai Hope,581379
-,-,-,-,-,-,-,v Zimbabwe,Bulawayo,19-Nov-16,ODI # 3806,Shai Hope,581379
-,-,-,-,-,-,-,v Sri Lanka,Bulawayo,23-Nov-16,ODI # 3808,Shai Hope,581379
-,-,-,-,-,-,-,v Zimbabwe,Bulawayo,25-Nov-16,ODI # 3809,Shai Hope,581379
-,-,-,-,-,-,-,v England,North Sound,03-Mar-17,ODI # 3845,Shai Hope,581379
-,-,-,-,-,-,-,v England,North Sound,05-Mar-17,ODI # 3848,Shai Hope,581379
-,-,-,-,-,-,-,v England,Bridgetown,09-Mar-17,ODI # 3849,Shai Hope,581379
-,-,-,-,-,-,-,v Pakistan,Providence,07-Apr-17,ODI # 3861,Shai Hope,581379
